Time Increment, Driver's name, Company Name, CrateID, Crate Value, Status
9,Sarah "Steel Horse" Smith,GnomeGlide Couriers,19239213,$190.31,UNLOADED,
10,Sarah "Steel Horse" Smith,GnomeGlide Couriers,27834177,$166.35,UNLOADED,
11,Sarah "Steel Horse" Smith,GnomeGlide Couriers,73778993,$196.21,UNLOADED AND NO REPLACEMENT,
11,Bob "Bulldozer" Baxter,ApolloAstronautics,60296176,$241.67,UNLOADED,
12,Bob "Bulldozer" Baxter,ApolloAstronautics,47036248,$358.14,UNLOADED,
13,Bob "Bulldozer" Baxter,ApolloAstronautics,74782943,$87.48,UNLOADED AND NO REPLACEMENT,
14,Mark "Mud Mover" Morris,ApolloAstronautics,87729863,$416.62,UNLOADED,
15,Mark "Mud Mover" Morris,ApolloAstronautics,25176332,$296.18,UNLOADED,
15,Wendy "Wheels" Wilson,Genie in a Parcel,53429110,$499.15,UNLOADED,
16,Mark "Mud Mover" Morris,ApolloAstronautics,14797098,$217.27,UNLOADED,
16,Wendy "Wheels" Wilson,Genie in a Parcel,56122329,$232.78,UNLOADED,
17,Mark "Mud Mover" Morris,ApolloAstronautics,75307967,$297.26,UNLOADED,
17,Wendy "Wheels" Wilson,Genie in a Parcel,07778145,$147.54,UNLOADED,
18,Mark "Mud Mover" Morris,ApolloAstronautics,48617328,$362.14,UNLOADED AND NO REPLACEMENT,
18,Wendy "Wheels" Wilson,Genie in a Parcel,57760347,$115.08,UNLOADED,
18,Tony "Tornado" Thompson,FedExpress,31915069,$418.29,UNLOADED,
19,Wendy "Wheels" Wilson,Genie in a Parcel,96702836,$262.47,UNLOADED AND NO REPLACEMENT,
19,Tony "Tornado" Thompson,FedExpress,63933705,$133.63,UNLOADED AND NO REPLACEMENT,
22,Tim "Tire Tamer" Thompson,StellarDelivery,68801090,$407.32,UNLOADED,
23,Tim "Tire Tamer" Thompson,StellarDelivery,44179229,$426.34,UNLOADED,
23,Holly "Haulin' Queen" Hayes,KnightShift Deliveries,92363042,$338.22,UNLOADED,
24,Tim "Tire Tamer" Thompson,StellarDelivery,12682784,$401.43,UNLOADED,
24,Holly "Haulin' Queen" Hayes,KnightShift Deliveries,57971353,$135.60,UNLOADED,
24,Larry "Lugnut" Lawson,VikingVoyage,98412799,$387.33,UNLOADED AND NO REPLACEMENT,
25,Tim "Tire Tamer" Thompson,StellarDelivery,25353494,$423.96,UNLOADED,
25,Holly "Haulin' Queen" Hayes,KnightShift Deliveries,23286507,$464.99,UNLOADED,
26,Tim "Tire Tamer" Thompson,StellarDelivery,82724481,$183.82,UNLOADED,
26,Holly "Haulin' Queen" Hayes,KnightShift Deliveries,67859919,$162.29,UNLOADED,
26,Holly "Haulin' Queen" Hayes,Leprechaun Logistics,76840519,$88.07,UNLOADED AND NO REPLACEMENT,
27,Tim "Tire Tamer" Thompson,StellarDelivery,45070887,$98.24,UNLOADED AND NO REPLACEMENT,
27,Holly "Haulin' Queen" Hayes,KnightShift Deliveries,65608895,$431.65,UNLOADED,
28,Holly "Haulin' Queen" Hayes,KnightShift Deliveries,86612779,$200.00,UNLOADED,
29,Holly "Haulin' Queen" Hayes,KnightShift Deliveries,25702221,$287.24,UNLOADED AND NO REPLACEMENT,
34,Carl "Caravan Captain" Carr,PostMates Express,21183792,$374.85,UNLOADED,
35,Carl "Caravan Captain" Carr,PostMates Express,82007728,$190.39,UNLOADED,
