Time Increment, Driver's name, Company Name, CrateID, Crate Value, Status
0,Dennis "Driver Dragon" Davis,PirateParcel Plunder,51280813,$197.87,UNLOADED,
1,Dennis "Driver Dragon" Davis,PirateParcel Plunder,87589430,$372.70,UNLOADED,
2,Dennis "Driver Dragon" Davis,PirateParcel Plunder,86825771,$415.90,UNLOADED,
3,Dennis "Driver Dragon" Davis,PirateParcel Plunder,86417503,$67.42,UNLOADED,
3,Carla "Gearshift" Greene,DragonWings Express,30244839,$418.63,UNLOADED,
4,Dennis "Driver Dragon" Davis,PirateParcel Plunder,74048872,$263.51,UNLOADED,
4,Carla "Gearshift" Greene,DragonWings Express,89229793,$451.42,UNLOADED,
5,Dennis "Driver Dragon" Davis,PirateParcel Plunder,53142726,$330.94,UNLOADED,
5,Carla "Gearshift" Greene,DragonWings Express,92673852,$152.31,UNLOADED AND NO REPLACEMENT,
6,Dennis "Driver Dragon" Davis,PirateParcel Plunder,19702236,$487.18,UNLOADED,
6,Judy "Junction Jockey" Johnson,DinoDispatch,15643114,$106.45,UNLOADED,
7,Dennis "Driver Dragon" Davis,PirateParcel Plunder,39725394,$428.23,UNLOADED,
7,Judy "Junction Jockey" Johnson,DinoDispatch,86219969,$124.52,UNLOADED,
8,Dennis "Driver Dragon" Davis,PirateParcel Plunder,63630719,$51.81,UNLOADED,
8,Judy "Junction Jockey" Johnson,DinoDispatch,75546451,$310.73,UNLOADED AND NO REPLACEMENT,
9,Dennis "Driver Dragon" Davis,PirateParcel Plunder,68838860,$75.59,UNLOADED AND NO REPLACEMENT,
9,Emily "Express Lane" Ellis,Bigfoot Shipping,27852159,$328.19,UNLOADED,
10,Linda "Lane Lover" Lewis,Ewok Express,96383934,$293.82,UNLOADED,
10,Emily "Express Lane" Ellis,Bigfoot Shipping,47543864,$483.46,UNLOADED,
11,Linda "Lane Lover" Lewis,Ewok Express,44207158,$211.39,UNLOADED,
11,Emily "Express Lane" Ellis,Bigfoot Shipping,49953066,$440.32,UNLOADED,
12,Linda "Lane Lover" Lewis,Ewok Express,11216941,$58.26,UNLOADED,
12,Emily "Express Lane" Ellis,Bigfoot Shipping,29774647,$338.27,UNLOADED,
13,Linda "Lane Lover" Lewis,Ewok Express,82296904,$340.17,UNLOADED,
13,Emily "Express Lane" Ellis,Bigfoot Shipping,70680943,$145.96,UNLOADED,
14,Linda "Lane Lover" Lewis,Ewok Express,19491174,$405.81,UNLOADED,
14,Emily "Express Lane" Ellis,Bigfoot Shipping,60690248,$499.42,UNLOADED,
15,Linda "Lane Lover" Lewis,Ewok Express,24208216,$464.97,UNLOADED AND NO REPLACEMENT,
15,Emily "Express Lane" Ellis,Bigfoot Shipping,47172329,$484.19,UNLOADED,
16,Sandra "Semi Siren" Spencer,DragonWings Express,46255789,$258.08,UNLOADED,
16,Emily "Express Lane" Ellis,Bigfoot Shipping,35808947,$306.78,UNLOADED,
17,Sandra "Semi Siren" Spencer,DragonWings Express,05805064,$243.25,UNLOADED,
17,Emily "Express Lane" Ellis,Bigfoot Shipping,59292833,$86.24,UNLOADED AND NO REPLACEMENT,
18,Sandra "Semi Siren" Spencer,DragonWings Express,82501377,$249.41,UNLOADED,
18,Tony "Tornado" Thompson,ThunderTruck Express,22979063,$174.18,UNLOADED,
19,Sandra "Semi Siren" Spencer,DragonWings Express,88609250,$393.14,UNLOADED AND NO REPLACEMENT,
19,Tony "Tornado" Thompson,ThunderTruck Express,69795263,$264.40,UNLOADED,
20,Gary "Gravel Grinder" Gordon,SpacePenguin Express,60310507,$125.22,UNLOADED AND NO REPLACEMENT,
20,Tony "Tornado" Thompson,ThunderTruck Express,21030571,$173.26,UNLOADED AND NO REPLACEMENT,
23,Amber "Asphalt Angel" Anderson,Sherlock Shipping,11660880,$198.52,UNLOADED,
24,Amber "Asphalt Angel" Anderson,Sherlock Shipping,93393450,$414.51,UNLOADED,
25,Amber "Asphalt Angel" Anderson,Sherlock Shipping,82139110,$371.26,UNLOADED,
25,Ray "Roadway Ranger" Rogers,DinoDispatch,03024173,$328.88,UNLOADED,
26,Amber "Asphalt Angel" Anderson,Sherlock Shipping,70679015,$433.95,UNLOADED,
26,Ray "Roadway Ranger" Rogers,DinoDispatch,86018195,$261.61,UNLOADED,
27,Amber "Asphalt Angel" Anderson,Sherlock Shipping,80781840,$406.59,UNLOADED,
27,Ray "Roadway Ranger" Rogers,DinoDispatch,28529781,$440.65,UNLOADED,
28,Amber "Asphalt Angel" Anderson,Sherlock Shipping,47481680,$176.48,UNLOADED,
28,Ray "Roadway Ranger" Rogers,DinoDispatch,14249632,$66.74,UNLOADED,
29,Amber "Asphalt Angel" Anderson,Sherlock Shipping,49655992,$337.02,UNLOADED,
29,Ray "Roadway Ranger" Rogers,DinoDispatch,48722387,$391.47,UNLOADED,
30,Amber "Asphalt Angel" Anderson,Sherlock Shipping,70567460,$321.43,UNLOADED,
30,Ray "Roadway Ranger" Rogers,DinoDispatch,67256263,$145.46,UNLOADED,
31,Amber "Asphalt Angel" Anderson,Sherlock Shipping,17781968,$471.25,UNLOADED,
31,Ray "Roadway Ranger" Rogers,DinoDispatch,15807594,$403.65,UNLOADED AND NO REPLACEMENT,
32,Amber "Asphalt Angel" Anderson,Sherlock Shipping,07625340,$195.09,UNLOADED AND NO REPLACEMENT,
32,Lisa "Long Haul" Lawrence,Starship Supplies,86892716,$427.66,UNLOADED,
33,Bill "Big Hauler" Bennett,PirateParcel Plunder,24482259,$445.24,UNLOADED,
33,Lisa "Long Haul" Lawrence,Starship Supplies,06232644,$75.06,UNLOADED,
34,Bill "Big Hauler" Bennett,PirateParcel Plunder,41577017,$424.32,UNLOADED,
