Time Increment, Driver's name, Company Name, CrateID, Crate Value, Status
3,Nancy "Nitro" Nelson,EcoFlower Express,24162150,$375.54,UNLOADED,
4,Nancy "Nitro" Nelson,EcoFlower Express,97642699,$248.49,UNLOADED,
4,Dave "Freight Train" Foster,FedExpress,21976089,$427.71,UNLOADED,
5,Nancy "Nitro" Nelson,EcoFlower Express,15630742,$94.62,UNLOADED,
5,Dave "Freight Train" Foster,FedExpress,45100331,$406.49,UNLOADED,
6,Nancy "Nitro" Nelson,EcoFlower Express,30287854,$213.10,UNLOADED,
6,Dave "Freight Train" Foster,FedExpress,98296118,$242.33,UNLOADED,
6,Holly "Haulin' Queen" Hayes,SpacePenguin Express,02624998,$175.60,UNLOADED,
7,Nancy "Nitro" Nelson,EcoFlower Express,30091328,$407.55,UNLOADED,
7,Dave "Freight Train" Foster,FedExpress,84546307,$417.20,UNLOADED,
7,Holly "Haulin' Queen" Hayes,SpacePenguin Express,85959432,$119.78,UNLOADED,
7,Wendy "Wheels" Wilson,PixieParcel,48673391,$77.56,UNLOADED,
8,Nancy "Nitro" Nelson,EcoFlower Express,66522994,$305.55,UNLOADED,
8,Dave "Freight Train" Foster,FedExpress,87819154,$140.31,UNLOADED AND NO REPLACEMENT,
8,Holly "Haulin' Queen" Hayes,SpacePenguin Express,43715525,$204.81,UNLOADED,
8,Wendy "Wheels" Wilson,PixieParcel,18327214,$57.59,UNLOADED,
9,Nancy "Nitro" Nelson,EcoFlower Express,83652855,$195.46,UNLOADED,
9,Holly "Haulin' Queen" Hayes,SpacePenguin Express,60050496,$85.79,UNLOADED,
9,Wendy "Wheels" Wilson,PixieParcel,15252345,$212.05,UNLOADED,
10,Nancy "Nitro" Nelson,EcoFlower Express,67577824,$111.30,UNLOADED,
10,Bob "Bulldozer" Baxter,Wonderland Couriers,95839867,$441.68,UNLOADED,
10,Holly "Haulin' Queen" Hayes,SpacePenguin Express,69669355,$110.02,UNLOADED,
10,Wendy "Wheels" Wilson,PixieParcel,16290501,$236.03,UNLOADED,
11,Nancy "Nitro" Nelson,EcoFlower Express,30315906,$220.77,UNLOADED,
11,Bob "Bulldozer" Baxter,Wonderland Couriers,09328584,$412.46,UNLOADED,
11,Holly "Haulin' Queen" Hayes,SpacePenguin Express,73528263,$118.90,UNLOADED,
11,Wendy "Wheels" Wilson,PixieParcel,99967079,$82.84,UNLOADED,
12,Nancy "Nitro" Nelson,EcoFlower Express,94887230,$125.01,UNLOADED AND NO REPLACEMENT,
12,Bob "Bulldozer" Baxter,Wonderland Couriers,70121763,$318.94,UNLOADED,
12,Holly "Haulin' Queen" Hayes,SpacePenguin Express,65822604,$136.81,UNLOADED AND NO REPLACEMENT,
12,Wendy "Wheels" Wilson,PixieParcel,67671860,$466.91,UNLOADED,
13,Wendy "Wheels" Wilson,FairyTale Freight,32269490,$359.60,UNLOADED,
13,Bob "Bulldozer" Baxter,Wonderland Couriers,24527997,$54.76,UNLOADED AND NO REPLACEMENT,
13,Denise "Diesel Duchess" Davis,GnomeGlide Couriers,31833322,$455.03,UNLOADED,
13,Wendy "Wheels" Wilson,PixieParcel,83579371,$416.06,UNLOADED,
14,Wendy "Wheels" Wilson,FairyTale Freight,02668252,$139.50,UNLOADED,
14,Denise "Diesel Duchess" Davis,GnomeGlide Couriers,52370318,$467.12,UNLOADED,
14,Wendy "Wheels" Wilson,PixieParcel,19823180,$294.16,UNLOADED,
15,Wendy "Wheels" Wilson,FairyTale Freight,39125843,$185.06,UNLOADED,
15,Tony "Tornado" Thompson,Robin Hood Couriers,53672551,$268.80,UNLOADED,
15,Denise "Diesel Duchess" Davis,GnomeGlide Couriers,04477204,$319.92,UNLOADED,
15,Wendy "Wheels" Wilson,PixieParcel,75465932,$131.29,UNLOADED AND NO REPLACEMENT,
16,Wendy "Wheels" Wilson,FairyTale Freight,47396690,$282.49,UNLOADED,
16,Tony "Tornado" Thompson,Robin Hood Couriers,29329021,$191.99,UNLOADED,
16,Denise "Diesel Duchess" Davis,GnomeGlide Couriers,58185353,$272.22,UNLOADED,
17,Wendy "Wheels" Wilson,FairyTale Freight,26155816,$86.71,UNLOADED AND NO REPLACEMENT,
17,Tony "Tornado" Thompson,Robin Hood Couriers,66616535,$298.52,UNLOADED,
17,Denise "Diesel Duchess" Davis,GnomeGlide Couriers,20774060,$120.03,UNLOADED AND NO REPLACEMENT,
17,Dennis "Driver Dragon" Davis,VikingVessel Deliveries,99948906,$296.88,UNLOADED AND NO REPLACEMENT,
18,Tony "Tornado" Thompson,Robin Hood Couriers,03981680,$420.94,UNLOADED AND NO REPLACEMENT,
20,Doug "Dangerous Curve" Duncan,Wonderland Couriers,62911284,$320.90,UNLOADED,
21,Doug "Dangerous Curve" Duncan,Wonderland Couriers,29208928,$332.31,UNLOADED,
22,Doug "Dangerous Curve" Duncan,Wonderland Couriers,36588922,$323.42,UNLOADED,
23,Doug "Dangerous Curve" Duncan,Wonderland Couriers,42571268,$489.02,UNLOADED,
23,Bob "Bulldozer" Baxter,DHLuxe Deliveries,33765231,$345.53,UNLOADED AND NO REPLACEMENT,
24,Doug "Dangerous Curve" Duncan,Wonderland Couriers,21700537,$400.20,UNLOADED,
25,Doug "Dangerous Curve" Duncan,Wonderland Couriers,84821468,$308.61,UNLOADED,
25,Chuck "Cargo Cowboy" Collins,Starship Supplies,71578342,$254.97,UNLOADED,
26,Doug "Dangerous Curve" Duncan,Wonderland Couriers,78034605,$167.90,UNLOADED,
26,Chuck "Cargo Cowboy" Collins,Starship Supplies,70205280,$229.99,UNLOADED,
27,Doug "Dangerous Curve" Duncan,Wonderland Couriers,07243082,$138.40,UNLOADED,
27,Chuck "Cargo Cowboy" Collins,Starship Supplies,75606142,$430.88,UNLOADED,
27,Dave "Freight Train" Foster,Rainbow Courier,99231870,$162.99,UNLOADED,
28,Doug "Dangerous Curve" Duncan,Wonderland Couriers,45056637,$435.79,UNLOADED,
28,Chuck "Cargo Cowboy" Collins,Starship Supplies,25294703,$157.84,UNLOADED,
28,Dave "Freight Train" Foster,Rainbow Courier,24847323,$85.87,UNLOADED,
29,Doug "Dangerous Curve" Duncan,Wonderland Couriers,24634136,$60.96,UNLOADED AND NO REPLACEMENT,
29,Chuck "Cargo Cowboy" Collins,Starship Supplies,57152927,$464.43,UNLOADED,
29,Dave "Freight Train" Foster,Rainbow Courier,54347762,$419.09,UNLOADED,
30,Roger "Rubber Roadster" Reynolds,FairyWings Express,75618168,$138.23,UNLOADED,
30,Chuck "Cargo Cowboy" Collins,Starship Supplies,83453266,$362.73,UNLOADED AND NO REPLACEMENT,
30,Dave "Freight Train" Foster,Rainbow Courier,95021508,$387.44,UNLOADED,
31,Roger "Rubber Roadster" Reynolds,FairyWings Express,55519264,$97.38,UNLOADED,
31,Dave "Freight Train" Foster,Rainbow Courier,41315332,$437.24,UNLOADED,
32,Roger "Rubber Roadster" Reynolds,FairyWings Express,47861789,$325.54,UNLOADED,
32,Greg "Gritty Grind" Greene,MartianMovers,42274522,$472.27,UNLOADED,
32,Dave "Freight Train" Foster,Rainbow Courier,07677682,$434.88,UNLOADED AND NO REPLACEMENT,
33,Roger "Rubber Roadster" Reynolds,FairyWings Express,37797685,$439.31,UNLOADED,
33,Greg "Gritty Grind" Greene,MartianMovers,34748577,$63.86,UNLOADED AND NO REPLACEMENT,
34,Roger "Rubber Roadster" Reynolds,FairyWings Express,34997467,$460.39,UNLOADED,
35,Roger "Rubber Roadster" Reynolds,FairyWings Express,58499657,$57.27,UNLOADED,
36,Roger "Rubber Roadster" Reynolds,FairyWings Express,34966969,$351.95,UNLOADED,
37,Roger "Rubber Roadster" Reynolds,FairyWings Express,30031856,$238.25,UNLOADED,
38,Roger "Rubber Roadster" Reynolds,FairyWings Express,00604547,$380.93,UNLOADED,
39,Roger "Rubber Roadster" Reynolds,FairyWings Express,96392992,$213.61,UNLOADED AND NO REPLACEMENT,
43,Bill "Big Hauler" Bennett,X-Files Deliveries,89993573,$85.07,UNLOADED,
44,Bill "Big Hauler" Bennett,X-Files Deliveries,12519307,$431.97,UNLOADED AND NO REPLACEMENT,
"$7,100.00","$23,157.70","$16,057.70",
1,Chuck "Cargo Cowboy" Collins,BuzzyBee Deliveries,29150898,$302.64,UNLOADED,
2,Chuck "Cargo Cowboy" Collins,BuzzyBee Deliveries,64858838,$438.11,UNLOADED,
2,Carla "Gearshift" Greene,GnomeGlide Couriers,62480838,$265.44,UNLOADED,
3,Chuck "Cargo Cowboy" Collins,BuzzyBee Deliveries,68261654,$201.68,UNLOADED,
3,Carla "Gearshift" Greene,GnomeGlide Couriers,40773386,$108.62,UNLOADED,
4,Chuck "Cargo Cowboy" Collins,BuzzyBee Deliveries,57226646,$259.21,UNLOADED AND NO REPLACEMENT,
4,Carla "Gearshift" Greene,GnomeGlide Couriers,62436381,$93.69,UNLOADED,
5,Carla "Gearshift" Greene,GnomeGlide Couriers,92327813,$497.95,UNLOADED,
6,Carla "Gearshift" Greene,GnomeGlide Couriers,56099032,$301.06,UNLOADED,
7,Carla "Gearshift" Greene,GnomeGlide Couriers,59370879,$461.82,UNLOADED,
8,Larry "Lugnut" Lawson,TimeMachine Transport,38694961,$229.11,UNLOADED,
8,Carla "Gearshift" Greene,GnomeGlide Couriers,19599212,$136.09,UNLOADED,
9,Larry "Lugnut" Lawson,TimeMachine Transport,17920539,$231.87,UNLOADED,
9,Carla "Gearshift" Greene,GnomeGlide Couriers,54629281,$230.83,UNLOADED AND NO REPLACEMENT,
10,Larry "Lugnut" Lawson,TimeMachine Transport,21648605,$158.02,UNLOADED,
10,Dave "Freight Train" Foster,ApolloAstronautics,70440238,$58.08,UNLOADED,
11,Larry "Lugnut" Lawson,TimeMachine Transport,81097159,$249.09,UNLOADED,
11,Dave "Freight Train" Foster,ApolloAstronautics,17580341,$54.45,UNLOADED,
11,Carl "Caravan Captain" Carr,Rainbow Courier,31148630,$115.52,UNLOADED,
12,Larry "Lugnut" Lawson,TimeMachine Transport,62893414,$139.57,UNLOADED AND NO REPLACEMENT,
12,Dave "Freight Train" Foster,ApolloAstronautics,75896036,$264.74,UNLOADED AND NO REPLACEMENT,
12,Carl "Caravan Captain" Carr,Rainbow Courier,34401358,$468.97,UNLOADED,
12,Grace "Gasoline Gal" Garcia,KnightShift Deliveries,13111014,$247.42,UNLOADED,
13,Carl "Caravan Captain" Carr,Rainbow Courier,34361178,$189.58,UNLOADED,
13,Grace "Gasoline Gal" Garcia,KnightShift Deliveries,71476435,$61.48,UNLOADED,
14,Carl "Caravan Captain" Carr,Rainbow Courier,47654424,$479.40,UNLOADED,
14,Grace "Gasoline Gal" Garcia,KnightShift Deliveries,72303267,$174.61,UNLOADED,
15,Cindy "Concrete Cowboy" Carter,TimeWarp Deliveries,95392243,$409.45,UNLOADED,
15,Carl "Caravan Captain" Carr,Rainbow Courier,47423054,$491.86,UNLOADED,
15,Grace "Gasoline Gal" Garcia,KnightShift Deliveries,52165074,$228.47,UNLOADED AND NO REPLACEMENT,
16,Cindy "Concrete Cowboy" Carter,TimeWarp Deliveries,71277589,$370.84,UNLOADED,
16,Carl "Caravan Captain" Carr,Rainbow Courier,99067032,$452.91,UNLOADED,
17,Cindy "Concrete Cowboy" Carter,TimeWarp Deliveries,13472729,$282.48,UNLOADED,
17,Terry "Truckin' Terrier" Taylor,DHLuxe Deliveries,30412854,$208.35,UNLOADED,
17,Carl "Caravan Captain" Carr,Rainbow Courier,55865833,$78.01,UNLOADED,
18,Cindy "Concrete Cowboy" Carter,TimeWarp Deliveries,67167363,$489.84,UNLOADED,
18,Terry "Truckin' Terrier" Taylor,DHLuxe Deliveries,07331529,$353.83,UNLOADED AND NO REPLACEMENT,
18,Carl "Caravan Captain" Carr,Rainbow Courier,99178189,$409.32,UNLOADED,
19,Cindy "Concrete Cowboy" Carter,TimeWarp Deliveries,62093815,$71.54,UNLOADED,
19,Carl "Caravan Captain" Carr,Rainbow Courier,95384465,$449.30,UNLOADED,
20,Cindy "Concrete Cowboy" Carter,TimeWarp Deliveries,55765563,$420.60,UNLOADED,
20,Joe "Overdrive" O'Brien,BuzzyBee Deliveries,25360894,$277.60,UNLOADED,
20,Carl "Caravan Captain" Carr,Rainbow Courier,40923775,$262.04,UNLOADED AND NO REPLACEMENT,
21,Cindy "Concrete Cowboy" Carter,TimeWarp Deliveries,44190282,$141.61,UNLOADED,
21,Joe "Overdrive" O'Brien,BuzzyBee Deliveries,27650568,$212.67,UNLOADED AND NO REPLACEMENT,
21,Terry "Truckin' Terrier" Taylor,FairyTale Freight,74747775,$210.21,UNLOADED AND NO REPLACEMENT,
22,Cindy "Concrete Cowboy" Carter,TimeWarp Deliveries,90499509,$327.46,UNLOADED,
23,Cindy "Concrete Cowboy" Carter,TimeWarp Deliveries,41432813,$85.32,UNLOADED,
23,Terry "Truckin' Terrier" Taylor,DragonWings Express,61983539,$289.91,UNLOADED,
24,Cindy "Concrete Cowboy" Carter,TimeWarp Deliveries,62708466,$364.28,UNLOADED AND NO REPLACEMENT,
24,Terry "Truckin' Terrier" Taylor,DragonWings Express,28222353,$318.09,UNLOADED,
25,Tim "Tire Tamer" Thompson,TimeMachine Transport,98289264,$424.46,UNLOADED,
25,Terry "Truckin' Terrier" Taylor,DragonWings Express,49616596,$122.90,UNLOADED,
26,Tim "Tire Tamer" Thompson,TimeMachine Transport,10262767,$85.54,UNLOADED,
26,Terry "Truckin' Terrier" Taylor,DragonWings Express,11678720,$239.60,UNLOADED,
27,Tim "Tire Tamer" Thompson,TimeMachine Transport,13964999,$236.70,UNLOADED,
27,Terry "Truckin' Terrier" Taylor,DragonWings Express,40357020,$226.27,UNLOADED AND NO REPLACEMENT,
27,Linda "Lane Lover" Lewis,Genie in a Parcel,99872908,$209.86,UNLOADED,
28,Tim "Tire Tamer" Thompson,TimeMachine Transport,11319934,$158.68,UNLOADED AND NO REPLACEMENT,
28,Carla "Gearshift" Greene,DinoDispatch,80359944,$281.32,UNLOADED,
28,Linda "Lane Lover" Lewis,Genie in a Parcel,08340180,$113.45,UNLOADED,
29,Carla "Gearshift" Greene,DinoDispatch,94830489,$364.72,UNLOADED AND NO REPLACEMENT,
29,Linda "Lane Lover" Lewis,Genie in a Parcel,02895551,$187.48,UNLOADED,
30,Linda "Lane Lover" Lewis,Genie in a Parcel,01566163,$456.78,UNLOADED,
31,Ron "Road Roller" Robinson,PurrfectParcel,91816430,$238.27,UNLOADED,
31,Linda "Lane Lover" Lewis,Genie in a Parcel,79252035,$294.71,UNLOADED,
32,Ron "Road Roller" Robinson,PurrfectParcel,57287053,$341.44,UNLOADED,
